year,wildfire_area,annual_co_emissions_per_capita,average_temp,global_population,gmsl
2012,72945123.33333333,4.878096,18.557335258564102,7141386257,2100.4700000000003
2013,64660404.333333336,4.8592534,18.64174675774359,7229303088,2422.56
2014,67716701.5,4.8325562,18.81175315110051,7317040295,2432.17
2015,73918606.33333333,4.775163,18.972765356410257,7403850164,2704.04
2016,69357200.16666667,4.719525,19.060713842564102,7490415449,3073.61
2017,68629419.16666667,4.740302,18.924197065148718,7576441961,2985.4700000000003
2018,54949209.333333336,4.7850013,18.953028935128206,7660371127,3062.2200000000003
2019,67913343,4.770166,19.12994777830769,7741774583,3349.51
2020,68124563.83333333,4.4647303,19.114146768871795,7820205606,3513.96
2021,64037725,4.654845,18.953743138923077,7888305693,3587.44
2022,60675236.666666664,4.658219,18.981212738948717,7950946801,3736.9300000000003
