entity,code,year,annual_area_burnt_by_wildfires
Africa,NA,2012,232641230
Africa,NA,2013,256846240
Africa,NA,2014,240621140
Africa,NA,2015,263458540
Africa,NA,2016,267901150
Africa,NA,2017,246876270
Africa,NA,2018,199871600
Africa,NA,2019,231263300
Africa,NA,2020,243435410
Africa,NA,2021,235876580
Africa,NA,2022,225088770
Africa,NA,2023,218158980
Africa,NA,2024,50956090
Asia,NA,2012,40942984
Asia,NA,2013,36901384
Asia,NA,2014,47901564
Asia,NA,2015,51810916
Asia,NA,2016,39271100
Asia,NA,2017,34420110
Asia,NA,2018,25441148
Asia,NA,2019,43636796
Asia,NA,2020,36863784
Asia,NA,2021,36716800
Asia,NA,2022,25112308
Asia,NA,2023,35006096
Asia,NA,2024,14531235
Europe,NA,2012,28150756
Europe,NA,2013,11785220
Europe,NA,2014,22788308
Europe,NA,2015,17351120
Europe,NA,2016,17636288
Europe,NA,2017,15063105
Europe,NA,2018,15966279
Europe,NA,2019,18681800
Europe,NA,2020,18501448
Europe,NA,2021,18809518
Europe,NA,2022,12632278
Europe,NA,2023,11524028
Europe,NA,2024,806274
North America,NA,2012,14634928
North America,NA,2013,17939512
North America,NA,2014,13668997
North America,NA,2015,16780156
North America,NA,2016,14413411
North America,NA,2017,19467296
North America,NA,2018,14416869
North America,NA,2019,16741884
North America,NA,2020,16633357
North America,NA,2021,17490876
North America,NA,2022,14720168
North America,NA,2023,29715396
North America,NA,2024,4026696
Oceania,NA,2012,65788950
Oceania,NA,2013,26738200
Oceania,NA,2014,36737828
Oceania,NA,2015,36287890
Oceania,NA,2016,23255782
Oceania,NA,2017,38543350
Oceania,NA,2018,37604000
Oceania,NA,2019,37020530
Oceania,NA,2020,19024048
Oceania,NA,2021,25369232
Oceania,NA,2022,26892060
Oceania,NA,2023,55094220
Oceania,NA,2024,2053209
South America,NA,2012,55511892
South America,NA,2013,37751870
South America,NA,2014,44582372
South America,NA,2015,57823016
South America,NA,2016,53665470
South America,NA,2017,57406384
South America,NA,2018,36395360
South America,NA,2019,60135748
South America,NA,2020,74289336
South America,NA,2021,49963344
South America,NA,2022,59605836
South America,NA,2023,50424484
South America,NA,2024,13447136
